町 名,Unnamed: 2,可燃,Unnamed: 4,不燃,資源  ペット,有価物,番地詳細,nth_week,weekday_info,town_name,district_name
か,海神1丁目,"0,3",1,4月,4,4.0,,4,0,海神,1丁目
か,海神2丁目,"0,3",1,3月,4,4.0,1～22、23の一部,3,0,海神,2丁目
か,海神2丁目,"0,3",1,3月,0,2.0,23の一部,3,0,海神,2丁目
か,海神3・4丁目,"0,3",1,3月,4,4.0,,3,0,海神,3・4丁目
か,海神5丁目,"0,3",1,3月,4,4.0,"1～15,20～29",3,0,海神,5丁目
か,海神5丁目,"0,3",1,2月,4,4.0,16～18,2,0,海神,5丁目
か,海神6丁目,"2,5",1,3月,4,4.0,"1～15,19～30  18（高架下より東側）",3,0,海神,6丁目
か,海神6丁目,"2,5",1,2月,4,4.0,"16,17  18（高架下より西側）",2,0,海神,6丁目
か,海神町2・3丁目,"2,5",1,4月,4,4.0,,4,0,海神町,2・3丁目
か,海神町西1丁目,"2,5",1,4月,4,4.0,,4,0,海神町西,1丁目
か,海神町西1丁目,"2,5",1,3月,4,4.0,船橋中央病院附属看護  専門学校の2ヶ所のみ,3,0,海神町西,1丁目
か,海神町東1丁目,"2,5",1,4月,4,4.0,,4,0,海神町東,1丁目
か,海神町南1丁目,"2,5",1,4月,4,4.0,下記以外,4,0,海神町南,1丁目
か,海神町南1丁目,"2,5",1,4月,4,1.0,"700番台,1730番台",4,0,海神町南,1丁目
か,葛飾町2丁目,"2,5",1,4月,4,1.0,,4,0,葛飾町,2丁目
か,金杉1丁目,"1,4",1,3木,2,1.0,,3,3,金杉,1丁目
か,金杉2丁目,"0,3",1,4木,2,1.0,,4,3,金杉,2丁目
か,金杉3～6丁目,"0,3",0,4木,2,1.0,,4,3,金杉,3～6丁目
か,金杉7丁目,"0,3",0,4木,2,1.0,1～11,4,3,金杉,7丁目
か,金杉7丁目,"1,4",1,3木,2,1.0,12～56,3,3,金杉,7丁目
か,金杉8・9丁目,"1,4",1,3木,2,1.0,,3,3,金杉,8・9丁目
か,金杉台1・2丁目,"0,3",0,4木,2,1.0,団地以外,4,3,金杉台,1・2丁目
か,金杉台1・2丁目,"0,3",0,3火,2,1.0,金杉台団地,3,1,金杉台,1・2丁目
か,金杉町,"0,3",1,4木,2,1.0,船橋・我孫子線より西側,4,3,金杉町,
か,金杉町,"1,4",1,3木,2,1.0,医療センターの南側,3,3,金杉町,
か,金杉町,"0,3",0,4木,2,1.0,船橋・我孫子線より東側,4,3,金杉町,
か,金堀町,"2,5",0,1金,3,0.0,,1,4,金堀町,
か,上山町1丁目,"0,3",1,1木,2,3.0,,1,3,上山町,1丁目
か,上山町2丁目,"0,3",1,1木,2,3.0,1～425,1,3,上山町,2丁目
か,上山町2丁目,"0,3",1,1木,2,2.0,前貝塚町寄りの2箇所のみ,1,3,上山町,2丁目
か,上山町2丁目,"0,3",1,4木,2,3.0,426～492  495～658,4,3,上山町,2丁目
か,上山町2丁目,"0,3",1,2木,2,3.0,493494,2,3,上山町,2丁目
か,上山町3丁目,"0,3",1,4木,2,3.0,,4,3,上山町,3丁目
き,北本町1丁目,"0,3",1,2木,0,2.0,3～6,2,3,北本町,1丁目
き,北本町1丁目,"0,3",1,2木,2,2.0,10141617,2,3,北本町,1丁目
き,北本町1丁目,"0,3",1,2木,3,2.0,"11,12,15  19～21",2,3,北本町,1丁目
き,北本町2丁目,"0,3",1,2木,2,2.0,,2,3,北本町,2丁目
き,行田1丁目,"0,3",1,2木,2,2.0,,2,3,行田,1丁目
き,行田2丁目,"0,3",1,2月,2,2.0,,2,0,行田,2丁目
き,行田3丁目,"0,3",1,2月,2,2.0,"1～11（行田団地,他）",2,0,行田,3丁目
き,行田3丁目,"0,3",1,1木,2,2.0,12～26,1,3,行田,3丁目
き,行田町,"0,3",1,1木,2,2.0,1～40番台,1,3,行田町,
き,行田町,"0,3",1,2木,2,2.0,70～300番台,2,3,行田町,
く,楠が山町,"1,4",0,1金,3,0.0,,1,4,楠が山町,
く,車方町,"2,5",0,1金,3,0.0,,1,4,車方町,
こ,高野台1～5丁目,"1,4",0,1金,3,3.0,,1,4,高野台,1～5丁目
こ,古作1丁目,"0,3",1,1木,4,1.0,下記を除く,1,3,古作,1丁目
こ,古作1丁目,"0,3",1,1木,2,3.0,7のライオンズマンション,1,3,古作,1丁目
こ,古作2丁目,"0,3",1,1月,4,1.0,,1,0,古作,2丁目
こ,古作3丁目,"0,3",1,2月,4,1.0,"1,2,7～16",2,0,古作,3丁目
こ,古作3丁目,"0,3",1,1木,4,1.0,3～5,1,3,古作,3丁目
こ,古作4丁目,"0,3",1,1木,4,1.0,,1,3,古作,4丁目
こ,古作町,"0,3",1,1木,2,2.0,,1,3,古作町,
こ,小野田町,"2,5",0,1金,3,0.0,,1,4,小野田町,
こ,小室町,"2,5",0,1火,3,0.0,,1,1,小室町,
こ,米ケ崎町,"1,4",1,3木,2,2.0,,3,3,米ケ崎町,
こ,古和釜町,"2,5",0,2金,3,0.0,700～900番台,2,4,古和釜町,
こ,古和釜町,"2,5",0,3金,3,0.0,100～300番台,3,4,古和釜町,
こ,古和釜町,"2,5",0,3金,3,0.0,"600,1700番台",3,4,古和釜町,
か,海神1丁目,"0,3",1,4月,4,4.0,,4,0,海神,1丁目
か,海神2丁目,"0,3",1,3月,4,4.0,1～22、23の一部,3,0,海神,2丁目
か,海神2丁目,"0,3",1,3月,0,2.0,23の一部,3,0,海神,2丁目
か,海神3・4丁目,"0,3",1,3月,4,4.0,,3,0,海神,3・4丁目
か,海神5丁目,"0,3",1,3月,4,4.0,"1～15,20～29",3,0,海神,5丁目
か,海神5丁目,"0,3",1,2月,4,4.0,16～18,2,0,海神,5丁目
か,海神6丁目,"2,5",1,3月,4,4.0,"1～15,19～30  18（高架下より東側）",3,0,海神,6丁目
か,海神6丁目,"2,5",1,2月,4,4.0,"16,17  18（高架下より西側）",2,0,海神,6丁目
か,海神町2・3丁目,"2,5",1,4月,4,4.0,,4,0,海神町,2・3丁目
か,海神町西1丁目,"2,5",1,4月,4,4.0,,4,0,海神町西,1丁目
か,海神町西1丁目,"2,5",1,3月,4,4.0,船橋中央病院附属看護  専門学校の2ヶ所のみ,3,0,海神町西,1丁目
か,海神町東1丁目,"2,5",1,4月,4,4.0,,4,0,海神町東,1丁目
か,海神町南1丁目,"2,5",1,4月,4,4.0,下記以外,4,0,海神町南,1丁目
か,海神町南1丁目,"2,5",1,4月,4,1.0,"700番台,1730番台",4,0,海神町南,1丁目
か,葛飾町2丁目,"2,5",1,4月,4,1.0,,4,0,葛飾町,2丁目
か,金杉1丁目,"1,4",1,3木,2,1.0,,3,3,金杉,1丁目
か,金杉2丁目,"0,3",1,4木,2,1.0,,4,3,金杉,2丁目
か,金杉3～6丁目,"0,3",0,4木,2,1.0,,4,3,金杉,3～6丁目
か,金杉7丁目,"0,3",0,4木,2,1.0,1～11,4,3,金杉,7丁目
か,金杉7丁目,"1,4",1,3木,2,1.0,12～56,3,3,金杉,7丁目
か,金杉8・9丁目,"1,4",1,3木,2,1.0,,3,3,金杉,8・9丁目
か,金杉台1・2丁目,"0,3",0,4木,2,1.0,団地以外,4,3,金杉台,1・2丁目
か,金杉台1・2丁目,"0,3",0,3火,2,1.0,金杉台団地,3,1,金杉台,1・2丁目
か,金杉町,"0,3",1,4木,2,1.0,船橋・我孫子線より西側,4,3,金杉町,
か,金杉町,"1,4",1,3木,2,1.0,医療センターの南側,3,3,金杉町,
か,金杉町,"0,3",0,4木,2,1.0,船橋・我孫子線より東側,4,3,金杉町,
か,金堀町,"2,5",0,1金,3,0.0,,1,4,金堀町,
か,上山町1丁目,"0,3",1,1木,2,3.0,,1,3,上山町,1丁目
か,上山町2丁目,"0,3",1,1木,2,3.0,1～425,1,3,上山町,2丁目
か,上山町2丁目,"0,3",1,1木,2,2.0,前貝塚町寄りの2箇所のみ,1,3,上山町,2丁目
か,上山町2丁目,"0,3",1,4木,2,3.0,426～492  495～658,4,3,上山町,2丁目
か,上山町2丁目,"0,3",1,2木,2,3.0,493494,2,3,上山町,2丁目
か,上山町3丁目,"0,3",1,4木,2,3.0,,4,3,上山町,3丁目
き,北本町1丁目,"0,3",1,2木,0,2.0,3～6,2,3,北本町,1丁目
き,北本町1丁目,"0,3",1,2木,2,2.0,10141617,2,3,北本町,1丁目
き,北本町1丁目,"0,3",1,2木,3,2.0,"11,12,15  19～21",2,3,北本町,1丁目
き,北本町2丁目,"0,3",1,2木,2,2.0,,2,3,北本町,2丁目
き,行田1丁目,"0,3",1,2木,2,2.0,,2,3,行田,1丁目
き,行田2丁目,"0,3",1,2月,2,2.0,,2,0,行田,2丁目
き,行田3丁目,"0,3",1,2月,2,2.0,"1～11（行田団地,他）",2,0,行田,3丁目
き,行田3丁目,"0,3",1,1木,2,2.0,12～26,1,3,行田,3丁目
き,行田町,"0,3",1,1木,2,2.0,1～40番台,1,3,行田町,
き,行田町,"0,3",1,2木,2,2.0,70～300番台,2,3,行田町,
く,楠が山町,"1,4",0,1金,3,0.0,,1,4,楠が山町,
く,車方町,"2,5",0,1金,3,0.0,,1,4,車方町,
こ,高野台1～5丁目,"1,4",0,1金,3,3.0,,1,4,高野台,1～5丁目
こ,古作1丁目,"0,3",1,1木,4,1.0,下記を除く,1,3,古作,1丁目
こ,古作1丁目,"0,3",1,1木,2,3.0,7のライオンズマンション,1,3,古作,1丁目
こ,古作2丁目,"0,3",1,1月,4,1.0,,1,0,古作,2丁目
こ,古作3丁目,"0,3",1,2月,4,1.0,"1,2,7～16",2,0,古作,3丁目
こ,古作3丁目,"0,3",1,1木,4,1.0,3～5,1,3,古作,3丁目
こ,古作4丁目,"0,3",1,1木,4,1.0,,1,3,古作,4丁目
こ,古作町,"0,3",1,1木,2,2.0,,1,3,古作町,
こ,小野田町,"2,5",0,1金,3,0.0,,1,4,小野田町,
こ,小室町,"2,5",0,1火,3,0.0,,1,1,小室町,
こ,米ケ崎町,"1,4",1,3木,2,2.0,,3,3,米ケ崎町,
こ,古和釜町,"2,5",0,2金,3,0.0,700～900番台,2,4,古和釜町,
こ,古和釜町,"2,5",0,3金,3,0.0,100～300番台,3,4,古和釜町,
こ,古和釜町,"2,5",0,3金,3,0.0,"600,1700番台",3,4,古和釜町,
さ,栄町1・2丁目,"2,5",1,4月,4,4.0,,4,0,栄町,1・2丁目
さ,咲が丘1～4丁目,"1,4",0,1金,3,3.0,,1,4,咲が丘,1～4丁目
し,芝山1丁目,"1,4",1,1水,1,1.0,団地以外,1,2,芝山,1丁目
し,芝山1丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,1丁目
し,芝山2丁目,"1,4",1,3木,1,1.0,団地以外,3,3,芝山,2丁目
し,芝山2丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,2丁目
し,芝山3丁目,"0,3",0,1水,1,1.0,"1～9,21～29",1,2,芝山,3丁目
し,芝山3丁目,"1,4",1,1水,1,1.0,"11～18,20",1,2,芝山,3丁目
し,芝山3丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,3丁目
し,芝山4・5丁目,"0,3",0,1水,1,1.0,,1,2,芝山,4・5丁目
し,芝山6丁目,"0,3",0,1水,1,1.0,"1～49,52～59",1,2,芝山,6丁目
し,芝山6丁目,"0,3",0,1水,1,4.0,6162,1,2,芝山,6丁目
し,芝山7丁目,"0,3",0,1水,1,1.0,,1,2,芝山,7丁目
し,新高根1～4丁目,"1,4",1,3木,2,0.0,,3,3,新高根,1～4丁目
し,新高根5丁目,"1,4",1,3木,2,0.0,5～28,3,3,新高根,5丁目
し,新高根5丁目,"1,4",1,3木,3,0.0,1～3,3,3,新高根,5丁目
し,新高根6丁目,"1,4",1,3木,2,0.0,"1～33,35～37  44～50",3,3,新高根,6丁目
し,新高根6丁目,"1,4",1,3木,3,0.0,39～42,3,3,新高根,6丁目
し,神保町,"2,5",0,1金,3,0.0,,1,4,神保町,
す,鈴身町,"2,5",0,1金,3,0.0,,1,4,鈴身町,
す,駿河台1丁目,"1,4",1,2水,0,0.0,,2,2,駿河台,1丁目
す,駿河台2丁目,"1,4",1,2水,1,1.0,,2,2,駿河台,2丁目
さ,栄町1・2丁目,"2,5",1,4月,4,4.0,,4,0,栄町,1・2丁目
さ,咲が丘1～4丁目,"1,4",0,1金,3,3.0,,1,4,咲が丘,1～4丁目
し,芝山1丁目,"1,4",1,1水,1,1.0,団地以外,1,2,芝山,1丁目
し,芝山1丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,1丁目
し,芝山2丁目,"1,4",1,3木,1,1.0,団地以外,3,3,芝山,2丁目
し,芝山2丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,2丁目
し,芝山3丁目,"0,3",0,1水,1,1.0,"1～9,21～29",1,2,芝山,3丁目
し,芝山3丁目,"1,4",1,1水,1,1.0,"11～18,20",1,2,芝山,3丁目
し,芝山3丁目,"1,4",1,1月,1,1.0,芝山団地,1,0,芝山,3丁目
し,芝山4・5丁目,"0,3",0,1水,1,1.0,,1,2,芝山,4・5丁目
し,芝山6丁目,"0,3",0,1水,1,1.0,"1～49,52～59",1,2,芝山,6丁目
し,芝山6丁目,"0,3",0,1水,1,4.0,6162,1,2,芝山,6丁目
し,芝山7丁目,"0,3",0,1水,1,1.0,,1,2,芝山,7丁目
し,新高根1～4丁目,"1,4",1,3木,2,0.0,,3,3,新高根,1～4丁目
し,新高根5丁目,"1,4",1,3木,2,0.0,5～28,3,3,新高根,5丁目
し,新高根5丁目,"1,4",1,3木,3,0.0,1～3,3,3,新高根,5丁目
し,新高根6丁目,"1,4",1,3木,2,0.0,"1～33,35～37  44～50",3,3,新高根,6丁目
し,新高根6丁目,"1,4",1,3木,3,0.0,39～42,3,3,新高根,6丁目
し,神保町,"2,5",0,1金,3,0.0,,1,4,神保町,
す,鈴身町,"2,5",0,1金,3,0.0,,1,4,鈴身町,
す,駿河台1丁目,"1,4",1,2水,0,0.0,,2,2,駿河台,1丁目
す,駿河台2丁目,"1,4",1,2水,1,1.0,,2,2,駿河台,2丁目
た,高瀬町,"2,5",1,2火,0,2.0,ウェリス南船橋,2,1,高瀬町,
た,高根台1丁目,"2,5",0,3金,3,0.0,下記以外,3,4,高根台,1丁目
た,高根台1丁目,"2,5",0,3月,4,0.0,アートヒル高根台  ヴィークステージ,3,0,高根台,1丁目
た,高根台2丁目,"2,5",0,3金,3,0.0,団地以外,3,4,高根台,2丁目
た,高根台2丁目,"2,5",0,3月,4,0.0,アートヒル高根台,3,0,高根台,2丁目
た,高根台3丁目,"2,5",0,2金,3,0.0,団地以外,2,4,高根台,3丁目
た,高根台3丁目,"2,5",0,3月,4,0.0,高根台団地  ヴィークステージ,3,0,高根台,3丁目
た,高根台4丁目,"2,5",0,3金,3,0.0,団地以外,3,4,高根台,4丁目
た,高根台4丁目,"2,5",0,3月,3,0.0,高根台団地（分譲）,3,0,高根台,4丁目
た,高根台5丁目,"2,5",0,3月,4,0.0,高根台団地,3,0,高根台,5丁目
た,高根台6丁目,"2,5",0,3金,3,0.0,,3,4,高根台,6丁目
た,高根台7丁目,"2,5",0,3金,3,0.0,"1～19,22～24,33  ライオンズマンション",3,4,高根台,7丁目
た,高根台7丁目,"2,5",0,3金,1,4.0,"20,25～32  パールハイツ",3,4,高根台,7丁目
た,高根町,"1,4",1,3木,2,1.0,,3,3,高根町,
た,滝台1丁目,"1,4",0,4水,1,3.0,,4,2,滝台,1丁目
た,滝台2丁目,"1,4",0,3水,1,3.0,,3,2,滝台,2丁目
た,滝台町,"1,4",0,3水,1,3.0,,3,2,滝台町,
た,田喜野井1～6丁目,"1,4",0,4水,1,3.0,,4,2,田喜野井,1～6丁目
た,田喜野井7丁目,"2,5",0,4金,1,3.0,,4,4,田喜野井,7丁目
つ,坪井町,"2,5",0,3金,3,4.0,,3,4,坪井町,
つ,坪井西1～2丁目,"2,5",0,3金,3,4.0,,3,4,坪井西,1～2丁目
つ,坪井東1～6丁目,"2,5",0,3金,3,4.0,,3,4,坪井東,1～6丁目
と,豊富町,"2,5",0,1金,3,0.0,,1,4,豊富町,
た,高瀬町,"2,5",1,2火,0,2.0,ウェリス南船橋,2,1,高瀬町,
た,高根台1丁目,"2,5",0,3金,3,0.0,下記以外,3,4,高根台,1丁目
た,高根台1丁目,"2,5",0,3月,4,0.0,アートヒル高根台  ヴィークステージ,3,0,高根台,1丁目
た,高根台2丁目,"2,5",0,3金,3,0.0,団地以外,3,4,高根台,2丁目
た,高根台2丁目,"2,5",0,3月,4,0.0,アートヒル高根台,3,0,高根台,2丁目
た,高根台3丁目,"2,5",0,2金,3,0.0,団地以外,2,4,高根台,3丁目
た,高根台3丁目,"2,5",0,3月,4,0.0,高根台団地  ヴィークステージ,3,0,高根台,3丁目
た,高根台4丁目,"2,5",0,3金,3,0.0,団地以外,3,4,高根台,4丁目
た,高根台4丁目,"2,5",0,3月,3,0.0,高根台団地（分譲）,3,0,高根台,4丁目
た,高根台5丁目,"2,5",0,3月,4,0.0,高根台団地,3,0,高根台,5丁目
た,高根台6丁目,"2,5",0,3金,3,0.0,,3,4,高根台,6丁目
た,高根台7丁目,"2,5",0,3金,3,0.0,"1～19,22～24,33  ライオンズマンション",3,4,高根台,7丁目
た,高根台7丁目,"2,5",0,3金,1,4.0,"20,25～32  パールハイツ",3,4,高根台,7丁目
た,高根町,"1,4",1,3木,2,1.0,,3,3,高根町,
た,滝台1丁目,"1,4",0,4水,1,3.0,,4,2,滝台,1丁目
た,滝台2丁目,"1,4",0,3水,1,3.0,,3,2,滝台,2丁目
た,滝台町,"1,4",0,3水,1,3.0,,3,2,滝台町,
た,田喜野井1～6丁目,"1,4",0,4水,1,3.0,,4,2,田喜野井,1～6丁目
た,田喜野井7丁目,"2,5",0,4金,1,3.0,,4,4,田喜野井,7丁目
つ,坪井町,"2,5",0,3金,3,4.0,,3,4,坪井町,
つ,坪井西1～2丁目,"2,5",0,3金,3,4.0,,3,4,坪井西,1～2丁目
つ,坪井東1～6丁目,"2,5",0,3金,3,4.0,,3,4,坪井東,1～6丁目
と,豊富町,"2,5",0,1金,3,0.0,,1,4,豊富町,
な,中野木1・2丁目,"1,4",1,2水,0,3.0,,2,2,中野木,1・2丁目
な,夏見1・2丁目,"1,4",1,3木,2,2.0,,3,3,夏見,1・2丁目
な,夏見3丁目,"0,3",1,2木,2,2.0,,2,3,夏見,3丁目
な,夏見4丁目,"1,4",1,2木,2,2.0,,2,3,夏見,4丁目
な,夏見5～7丁目,"1,4",1,3木,2,2.0,,3,3,夏見,5～7丁目
な,夏見台1・2丁目,"1,4",1,3木,2,2.0,,3,3,夏見台,1・2丁目
な,夏見台3丁目,"0,3",1,2木,2,2.0,,2,3,夏見台,3丁目
な,夏見台4丁目,"1,4",1,3木,2,2.0,,3,3,夏見台,4丁目
な,夏見台5丁目,"0,3",1,2木,2,2.0,,2,3,夏見台,5丁目
な,夏見台6丁目,"0,3",1,4木,2,2.0,,4,3,夏見台,6丁目
な,夏見町2丁目,"1,4",1,3木,2,2.0,,3,3,夏見町,2丁目
な,七林町,"0,3",0,1水,1,2.0,下記以外,1,2,七林町,
な,七林町,"0,3",0,1水,1,1.0,"126の一部,127の一部  （星和町会のみ）",1,2,七林町,
な,習志野1～4丁目,"2,5",0,4金,3,3.0,,4,4,習志野,1～4丁目
な,習志野5丁目,"2,5",0,4金,1,3.0,1～3,4,4,習志野,5丁目
な,習志野5丁目,"2,5",0,4水,1,3.0,4～12,4,2,習志野,5丁目
な,習志野台1丁目,"0,3",0,1水,1,4.0,,1,2,習志野台,1丁目
な,習志野台2丁目,"2,5",0,3金,3,4.0,5～73,3,4,習志野台,2丁目
な,習志野台2丁目,"2,5",0,1水,1,3.0,1～4,1,2,習志野台,2丁目
な,習志野台3丁目,"2,5",0,4金,4,4.0,"6～8,13～18",4,4,習志野台,3丁目
な,習志野台3丁目,"0,3",0,2火,3,4.0,"2,3,5,9～12（団地）",2,1,習志野台,3丁目
な,習志野台3丁目,"0,3",0,2火,4,4.0,4,2,1,習志野台,3丁目
な,習志野台4丁目,"2,5",0,4金,4,4.0,13～84,4,4,習志野台,4丁目
な,習志野台4丁目,"2,5",0,1水,4,3.0,"10,11,12の一部",1,2,習志野台,4丁目
な,習志野台4丁目,"2,5",0,3水,4,3.0,1～9,3,2,習志野台,4丁目
な,習志野台4丁目,"2,5",0,1水,1,,12の一部  （セントラルマンション）,1,2,習志野台,4丁目
な,習志野台4丁目,"0,3",0,1水,1,4.0,700番台　飛び地,1,2,習志野台,4丁目
な,習志野台5丁目,"2,5",0,4金,3,4.0,22～46,4,4,習志野台,5丁目
な,習志野台5丁目,"2,5",0,4金,4,4.0,1～21,4,4,習志野台,5丁目
な,習志野台6丁目,"2,5",0,3金,3,4.0,1～3,3,4,習志野台,6丁目
な,習志野台6丁目,"2,5",0,4金,3,4.0,"4～6,9～28",4,4,習志野台,6丁目
な,習志野台6丁目,"0,3",0,2火,3,4.0,"7,8（団地）",2,1,習志野台,6丁目
な,習志野台7丁目,"2,5",0,3金,3,4.0,下記以外,3,4,習志野台,7丁目
な,習志野台7丁目,"2,5",0,3金,3,0.0,7－4－1のみ,3,4,習志野台,7丁目
な,習志野台7丁目,"2,5",0,4金,3,4.0,2223,4,4,習志野台,7丁目
な,習志野台8丁目,"2,5",0,4金,3,4.0,,4,4,習志野台,8丁目
に,西浦1～3丁目,"2,5",1,4月,4,4.0,,4,0,西浦,1～3丁目
に,西習志野1・2丁目,"0,3",0,1水,1,4.0,,1,2,西習志野,1・2丁目
に,西習志野3丁目,"0,3",0,1水,1,4.0,1～34,1,2,西習志野,3丁目
に,西習志野3丁目,"0,3",0,1水,1,1.0,35～39,1,2,西習志野,3丁目
に,西習志野4丁目,"0,3",0,1水,1,4.0,"1～10,12～18",1,2,西習志野,4丁目
に,西習志野4丁目,"0,3",0,3水,4,4.0,19～24（みゆき町会内）,3,2,西習志野,4丁目
に,西習志野4丁目,"0,3",0,1水,4,4.0,11の一部（みゆき町会内）,1,2,西習志野,4丁目
に,西船1丁目,"2,5",1,2月,4,1.0,下記以外,2,0,西船,1丁目
に,西船1丁目,"2,5",1,2月,4,4.0,"1の一部,2の一部  （海神6丁目町会）",2,0,西船,1丁目
に,西船2丁目,"2,5",1,2月,4,1.0,"2～20,32～35",2,0,西船,2丁目
に,西船2丁目,"2,5",1,3月,2,2.0,"21,23～30",3,0,西船,2丁目
に,西船3・4丁目,"2,5",1,2月,4,1.0,,2,0,西船,3・4丁目
に,西船5丁目,"2,5",1,1月,4,1.0,10～21,1,0,西船,5丁目
に,西船5丁目,"2,5",1,2月,4,1.0,"1～9,22～27",2,0,西船,5丁目
に,西船6丁目,"2,5",1,1月,4,1.0,8～10,1,0,西船,6丁目
に,西船6丁目,"2,5",1,2月,4,1.0,1～7,2,0,西船,6丁目
に,西船7丁目,"2,5",1,1月,4,1.0,7～11,1,0,西船,7丁目
に,西船7丁目,"2,5",1,2月,4,1.0,1～6,2,0,西船,7丁目
に,二宮1丁目,"1,4",0,2水,1,3.0,,2,2,二宮,1丁目
に,二宮2丁目,"1,4",0,3水,1,3.0,,3,2,二宮,2丁目
な,中野木1・2丁目,"1,4",1,2水,0,3.0,,2,2,中野木,1・2丁目
な,夏見1・2丁目,"1,4",1,3木,2,2.0,,3,3,夏見,1・2丁目
な,夏見3丁目,"0,3",1,2木,2,2.0,,2,3,夏見,3丁目
な,夏見4丁目,"1,4",1,2木,2,2.0,,2,3,夏見,4丁目
な,夏見5～7丁目,"1,4",1,3木,2,2.0,,3,3,夏見,5～7丁目
な,夏見台1・2丁目,"1,4",1,3木,2,2.0,,3,3,夏見台,1・2丁目
な,夏見台3丁目,"0,3",1,2木,2,2.0,,2,3,夏見台,3丁目
な,夏見台4丁目,"1,4",1,3木,2,2.0,,3,3,夏見台,4丁目
な,夏見台5丁目,"0,3",1,2木,2,2.0,,2,3,夏見台,5丁目
な,夏見台6丁目,"0,3",1,4木,2,2.0,,4,3,夏見台,6丁目
な,夏見町2丁目,"1,4",1,3木,2,2.0,,3,3,夏見町,2丁目
な,七林町,"0,3",0,1水,1,2.0,下記以外,1,2,七林町,
な,七林町,"0,3",0,1水,1,1.0,"126の一部,127の一部  （星和町会のみ）",1,2,七林町,
な,習志野1～4丁目,"2,5",0,4金,3,3.0,,4,4,習志野,1～4丁目
な,習志野5丁目,"2,5",0,4金,1,3.0,1～3,4,4,習志野,5丁目
な,習志野5丁目,"2,5",0,4水,1,3.0,4～12,4,2,習志野,5丁目
な,習志野台1丁目,"0,3",0,1水,1,4.0,,1,2,習志野台,1丁目
な,習志野台2丁目,"2,5",0,3金,3,4.0,5～73,3,4,習志野台,2丁目
な,習志野台2丁目,"2,5",0,1水,1,3.0,1～4,1,2,習志野台,2丁目
な,習志野台3丁目,"2,5",0,4金,4,4.0,"6～8,13～18",4,4,習志野台,3丁目
な,習志野台3丁目,"0,3",0,2火,3,4.0,"2,3,5,9～12（団地）",2,1,習志野台,3丁目
な,習志野台3丁目,"0,3",0,2火,4,4.0,4,2,1,習志野台,3丁目
な,習志野台4丁目,"2,5",0,4金,4,4.0,13～84,4,4,習志野台,4丁目
な,習志野台4丁目,"2,5",0,1水,4,3.0,"10,11,12の一部",1,2,習志野台,4丁目
な,習志野台4丁目,"2,5",0,3水,4,3.0,1～9,3,2,習志野台,4丁目
